26,loosen,LeftHand,tube1bond,pbox,panelscrewbond,panelscrew,0
26,move,panelscrew,2.0066087,-0.019703493,7.4850373,89.791115,0.053534526,-0.004556505
36,move,panelscrew,2.0066102,-0.5746236,7.522225,89.791115,0.053534526,-0.004556505
38,move,panelscrew,2.0066118,-1.1156106,7.5114465,89.791115,0.053534526,-0.004556505
39,move,panelscrew,2.006612,-1.3878484,7.4599986,89.791115,0.053534526,-0.004556505
40,move,panelscrew,2.0066142,-2.771277,7.649594,89.791115,0.053534526,-0.004556505
41,move,panelscrew,2.0066166,-3.6263833,7.6455264,89.791115,0.053534526,-0.004556505
42,move,panelscrew,2.0066185,-4.7690873,7.687942,89.791115,0.053534526,-0.004556505
43,move,panelscrew,2.0066192,-5.7462792,7.854091,89.791115,0.053534526,-0.004556505
45,move,panelscrew,2.0066204,-5.902799,7.8652143,89.791115,0.053534526,-0.004556505
49,move,panelscrew,2.6573644,-5.9087768,7.823368,89.791115,0.053534526,-0.004556505
50,move,panelscrew,3.381036,-5.90879,7.704898,89.791115,0.053534526,-0.004556505
51,move,panelscrew,5.0911894,-5.908796,7.6580353,89.791115,0.053534526,-0.004556505
52,move,panelscrew,5.830304,-5.9087996,7.681873,89.791115,0.053534526,-0.004556505
53,move,panelscrew,7.7942924,-5.9088035,7.7996416,89.791115,0.053534526,-0.004556505
54,move,panelscrew,8.746924,-5.908809,7.8941383,89.791115,0.053534526,-0.004556505
55,move,panelscrew,10.223193,-5.9088225,7.752905,89.791115,0.053534526,-0.004556505
56,move,panelscrew,10.377188,-5.90883,7.6107335,89.791115,0.053534526,-0.004556505
